,item_uuid,name,product_id,product_uuid,source
0,677e056c-d351-4dbd-b42e-e4ae00a15afa,vino blanco,00000000780432029182,00002658-0cf2-4c21-a562-e02c425ff9e9,fresko
1,None,Gancho Pared Alfer 60 Kilos Engomado,00000000000003338368,0000324c-aa45-4bbf-b305-9cb40be0c2fa,chedraui
2,None,Cerveza Bud Light Light 4 Pack 473 Ml. l,00000000000003388478,00003c2e-f095-47cb-b387-bf38849b1a0d,chedraui
3,a1c4c1bc-2d86-4419-9bf7-1a441089211f,VOGUE FANTASTIC ESMALTE PARA UÑAS DESIERTO PINCEL PLANO,00000007702433322621,000040d6-5152-4d8b-9640-b8e77e88761d,gs1
4,c8ed3fe6-dd73-4feb-acc5-d7c06e2cc572,OSRAM LAMPARA LED SUPERSTAR CLASSIC A 60 8.5W/827,00000007501026906541,0000592a-37e9-4748-ad3a-f6a669702cc0,gs1
5,162e6787-ddd5-48fb-a759-68cda8daa6f0,ZESTORETIC TABL x 14,00000007501324402851,000080c9-f6c7-4897-bca8-ac3432d45acb,ims
6,2cc87ae5-a18d-4d1d-b379-6cd9c3d04ca4,dog chow alimento p perro pavo y pollo 374 gr lat,00000000017800142762,0000bdf6-90d1-4a7a-9d5f-c93c493991ac,soriana
7,cdd7c550-b333-4542-b566-20d57bcb321c,Globo Fabricas Selectas R Cerez 50Pz No9,00000000000003190922,0000c6df-e3f8-4cdd-8713-ef83dc70c63b,chedraui
8,5e15045c-4ed7-4aab-b458-f56362f12a75,Unigastrozol 20 mg Caja Con 7 Grageas,00000000000000000264,0000d59b-4cfb-44ce-bda5-b68f6adf3ab3,farmalisto
9,None,JBN JOHNSONS B LIQ ANTES DOM20,00000000000000038275,0000d7fc-88f1-46ef-a831-284f960da00d,farmasmart
10,17491aed-535c-419a-aadb-57401e39af68,sazonador mi pollo horno,00000007891150031968,000119b7-6c13-4be8-a682-7135dbe9c7c6,comercial_mexicana
11,987bcdca-f23c-408c-a4b3-f4eb688b241a,bel ara ajonjoli acaramelado 2,00000000750300387750,00017df0-b0df-47fe-944c-fd106fc7c8be,superama
12,a0f82028-991c-4f06-a56d-473b9dc2873d,lámpara sanelec  sensor de movimiento para pared,00000000750194230058,0001847b-7d4d-4c03-b0e9-9e16d7220373,walmart_online
13,4941ced3-0619-484c-b475-1becadf617ce,Cafe cumbre 12 pods,00000007707280892037,00018b7b-994a-4538-9dd6-d143bcadcaec,fresko
14,d076e3fa-ef45-4a75-8839-2aab910a3e3e,pan canela pasas de trigo y avena,00000000073472001318,0001ed72-fccc-4a14-8f7c-b12ac90d890b,la_comer
15,ab55b52a-5dce-4a37-9c6c-5c52e071f572,ting crema tubo 72 gr,00000000750107230015,0001f18d-740f-4551-bc44-f60a8c5ab9aa,superama
16,42c9c3d6-e111-4b8b-a47c-10a300f60504,LA JOSEFINA CARITAS PALETAS YOGURTDE CARAMELO SUAVE,00000000602549001168,00024a3b-bc0f-4cf6-8e07-e7977c3fd171,gs1
17,None,Mole Cocin Mest Almendr Rojo Bot 210Gr,00000000000001155792,00024cd0-f782-4e72-a87c-6d0ea0aa6521,soriana
18,None,GALLETA MISURA DOLCESENZA 120G,00000000000003433217,000255c3-d7bb-4a46-87e4-df9ce02a8856,chedraui
19,None,Goma de mascar Trident yerbabuena 18 pzas ,00000000750610560606,00025767-9782-4d14-a25d-ae9b855fb912,walmart
20,46793f07-9c56-4ad9-8823-a9b5af6f6ca0,PLAYMATES TOYS TEENAGE MUTANT NINJA TURTLES JUGUETE PARA NIÑO 6027847,00000000778988218310,00026e4c-50cc-4532-83ad-d37c6d4a4ba8,gs1
21,c43f71c2-0fdf-4c53-b48d-03ac9cf82bfc,bebida en polvo light,00000007622210113740,0002b437-ff15-4dec-b201-e0e895831ce8,comercial_mexicana
22,e5e8c7bd-e050-49fb-a033-3b310d379a52,Preservativo Nation Fest Lata 3 pz,00000000000000483479,0002c0aa-6241-45d0-a0a2-e90f4deba3a3,heb
23,c5b7b126-4f50-4bc5-8ed0-3a68f221bf30,W A ROGERS  CUCHARAS DOMINION,00000020749956131409,0002d09f-e660-48b0-bba0-7101a5ebd653,gs1
24,5e09e857-6bea-4e0f-8b3b-c6d1233bcc03,PYMSA TAZON MINI SIN TAPA,00000007501353604912,000329b6-8afc-4307-9273-a12fe2acf777,gs1
